# Cosmological parameters
# z 0.0
# name demnunii
# H0 67.0
# Omega_k 0.0
# Omega_b 0.04999999999999999
# Omega_c 0.26999999999999996
# Omega_m 0.31999999999999995
# Omega_de 0.6799068075447904
# Omega_nu 0.0
# N_eff 3.046
# mass_neutrinos 0.0
# n_s 0.96
# A_s 2.21265e-09
# H_z 67.0
# D_A 0.0
# D_M 0.0
# D_H 4474.514298507463
# D_V 0.0
# r_drag 146.71804187203688
# DM_rd 0.0
# DH_rd 30.497369249311554
# DV_rd 0.0
# sigma8 0.8464806009326422
# fsigma8 0.4501495921255273
# f 0.5317896141146742
# 
# k[h/Mpc]  P_lin(k)[Mpc^3/h^3]
3.150075844927415e-05    147.93454551518835
3.1642332285000526e-05    148.57272391453236
3.1784542395913576e-05    149.2136550696744
3.192739164162439e-05    149.85735084853198
3.2070882894596025e-05    150.5038231701416
3.2215019040201255e-05    151.15308400488158
3.235980297678057e-05    151.80514537468832
3.250523761570045e-05    152.4600193532828
3.265132588141199e-05    153.11771806639013
3.279807071150957e-05    153.77825369196438
3.294547505679004e-05    154.4416384604143
3.3093541881312015e-05    155.10788465482634
3.324227416245546e-05    155.77700461119423
3.339167489098157e-05    156.44901071864425
3.3541747071092966e-05    157.12391541966394
3.369249372049398e-05    157.80173121033354
3.3843917870451466e-05    158.48247064055582
3.399602256585568e-05    159.16614631428547
3.414881086528153e-05    159.85277088976548
3.430228584105006e-05    160.54235707975437
3.4456450579290265e-05    161.2349176517699
3.461130818000112e-05    161.93046542831536
3.476686175711391e-05    162.62901328734324
3.4923114438554896e-05    163.33057416625448
3.5080069366308124e-05    164.035161061675
3.5237729696478684e-05    164.74278702642124
3.539609859935617e-05    165.45346516962815
3.5555179259478356e-05    166.16720865698977
3.5714974875695324e-05    166.88403071100944
3.587548866123372e-05    167.60394461124068
3.603672384376141e-05    168.32696369453308
3.619868366545234e-05    169.05310135528356
3.63613713830518e-05    169.78237104567975
3.652479026794182e-05    170.51478627595262
3.6688943606207025e-05    171.25036061462686
3.685383469870069e-05    171.9891076887728
3.70194668611111e-05    172.73104118425704
3.7185843424028234e-05    173.47617484599704
3.735296773301076e-05    174.22452247821838
3.752084314865328e-05    174.97609794470904
3.768947304665388e-05    175.730915169074
3.78588608178821e-05    176.48898813499844
3.802900986844703e-05    177.25033088650332
3.819992361976582e-05    178.01495752820838
3.8371605508632515e-05    178.78288222532385
3.854405898728716e-05    179.55411919636663
3.871728752348515e-05    180.3286827122038
3.889129460056704e-05    181.10658710457867
3.906608371752858e-05    181.88784676684483
3.924165838909101e-05    182.67247615422954
3.941802214577179e-05    183.4604897841033
3.959517853395562e-05    184.25190223623977
3.9773131115965667e-05    185.04672815308695
3.995188347013526e-05    185.84498224003764
4.013143919087986e-05    186.6466792656935
4.031180188876925e-05    187.4518340621382
4.049297519060022e-05    188.26046152521607
4.06749627394695e-05    189.07257661479292
4.085776819484695e-05    189.88819435503862
4.104139523264918e-05    190.70732983470282
4.1225847545313506e-05    191.52999820738904
4.141112884187212e-05    192.35621469182948
4.159724284802673e-05    193.18599457217243
4.178419330622349e-05    194.01935319825483
4.197198397572819e-05    194.85630598588742
4.2160618632701885e-05    195.69686841713622
4.2350101070276856e-05    196.541056040747
4.254043509863284e-05    197.38888447994955
4.273162454507366e-05    198.2403694366936
4.2923673254104195e-05    199.09552668159628
4.311658508750768e-05    199.95437205332144
4.331036392442333e-05    200.8169214588624
4.350501366142443e-05    201.6831908738438
4.370053821259659e-05    202.5531963428145
4.3896941509616473e-05    203.42695397954847
4.409422750183094e-05    204.30447996734026
4.4292400156336346e-05    205.1857905593064
4.449146345805837e-05    206.07090207868782
4.469142140983215e-05    206.95983091915065
4.4892278032482775e-05    207.85259354509142
4.509403736490609e-05    208.74920649194377
4.529670346415e-05    209.64968636648112
4.550028040549593e-05    210.55404984712817
4.57047722825409e-05    211.46231368426976
4.5910183207279736e-05    212.37449470056163
4.6116517310187834e-05    213.29060979123744
4.632377874030415e-05    214.2106759244338
4.653197166531471e-05    215.13471014149005
4.674110027163631e-05    216.06272955721428
4.695116876450079e-05    216.99475135211085
4.716218136803956e-05    217.93079276453517
4.7374142325368536e-05    218.87087110499323
4.758705589867344e-05    219.8150037583397
4.780092636929561e-05    220.763208184088
4.801575803781792e-05    221.7155019167366
4.8231555224151384e-05    222.67190256608384
4.8448322267622033e-05    223.63242781755497
4.8666063527058076e-05    224.59709543252532
4.88847833808776e-05    225.56592324863843
4.910448622717664e-05    226.53892918013972
4.9325176483817604e-05    227.51613121820375
4.954685858851802e-05    228.4975474312571
4.976953699893994e-05    229.48319596531513
4.9993216192779445e-05    230.47309504431038
5.021790066785667e-05    231.4672629704276
5.044359494220641e-05    232.46571812443494
5.067030355416876e-05    233.46847896602677
5.089803106248052e-05    234.47556403415354
5.1126782046366825e-05    235.4869919473658
5.135656110563318e-05    236.50278140415116
5.158737286075804e-05    237.52295118328868
5.1819221952985626e-05    238.54752014971464
5.2052113044419334e-05    239.57650726415358
5.2286050818115436e-05    240.609931571423
5.252103997817725e-05    241.64781219839998
5.275708524984977e-05    242.6901683543704
5.299419137961464e-05    243.73701933139054
5.323236313528558e-05    244.78838450464028
5.3471605306104356e-05    245.8442833327781
5.371192270283698e-05    246.90473535830282
5.3953320157870474e-05    247.96976020792124
5.4195802525310094e-05    249.03937759289613
5.443937468107686e-05    250.1136073094269
5.468404152300565e-05    251.1924692390041
5.492980797094371e-05    252.2759833487811
5.5176678966849515e-05    253.3641696919384
5.5424659474892165e-05    254.45704840806394
5.567375448155129e-05    255.55463972351484
5.592396899571719e-05    256.6569639517977
5.617530804879162e-05    257.76404149393795
5.6427776694789e-05    258.8758928388631
5.668138001043797e-05    259.9925385637782
5.693612309528351e-05    261.11399933454567
5.7192011071789506e-05    262.24029590278593
5.744904908544171e-05    263.3714490976219
5.770724230485121e-05    264.50747983503777
5.796659592185842e-05    265.64840912090085
5.822711515163742e-05    266.7942580513484
5.8488805232800814e-05    267.94504781317426
5.875167142750515e-05    269.10079968421456
5.9015719021556646e-05    270.2615350337414
5.928095332451752e-05    271.4272753228496
5.954737966981278e-05    272.59804210486004
5.9815003414837405e-05    273.7738570256981
6.008382994106412e-05    274.95474182430775
6.035386465415162e-05    276.14071833303524
6.062511298405322e-05    277.33180847804624
6.089758038512608e-05    278.5280342797065
6.11712723362409e-05    279.7294178530057
6.1446194340892e-05    280.9359814079463
6.172235192730813e-05    282.1477472499618
6.19997506485635e-05    283.3647377803214
6.227839608268952e-05    284.58697549653806
6.25582938327869e-05    285.81448299278566
6.283944952713845e-05    287.04728296030873
6.312186881932209e-05    288.28539818727074
6.340555738832462e-05    289.52885155692167
6.369052093865594e-05    290.7776660499121
6.39767652004637e-05    292.03186474555935
6.426429592964856e-05    293.2914708222767
6.455311890797992e-05    294.5565075579973
6.484323994321217e-05    295.82699833059377
6.513466486920146e-05    297.1029666183156
6.542739954602312e-05    298.3844360002055
6.572144986008936e-05    299.67143015654267
6.601682172426764e-05    300.9639728692686
6.63135210779997e-05    302.2620880224261
6.661155388742088e-05    303.56579960258733
6.691092614548009e-05    304.87513169930725
6.721164387206037e-05    306.1901085055525
6.751371311409995e-05    307.51075431814115
6.78171399457137e-05    308.8370935382009
6.812193046831551e-05    310.1691506716027
6.842809081074079e-05    311.5069503294109
6.873562712936975e-05    312.8505172283373
6.904454560825124e-05    314.1998761911902
6.935485245922711e-05    315.5550521473248
6.966655392205702e-05    316.9160701326102
6.9979656264544e-05    318.2829552869644
7.029416578266051e-05    319.65573285674384
7.061008880067492e-05    321.03442819659085
7.09274316712788e-05    322.41906676989845
7.124620077571462e-05    323.80967414928506
7.156640252390403e-05    325.2062760170492
7.188804335457682e-05    326.608898165646
7.221112973540035e-05    328.0175664981481
7.253566816310961e-05    329.4323070287298
7.286166516363783e-05    330.8531458831293
7.31891272922478e-05    332.2801092991397
7.351806113366358e-05    333.71322362707144
7.384847330220293e-05    335.1525153302436
7.418037044191043e-05    336.59801098545785
7.451375922669086e-05    338.0497372834938
7.484864636044359e-05    339.50772102959047
7.518503857719735e-05    340.97198914392334
7.552294264124555e-05    342.4425686621172
7.586236534728235e-05    343.9194867357213
7.62033135205394e-05    345.4027706327111
7.654579401692287e-05    346.89244773798316
7.688981372315146e-05    348.38854555459744
7.72353795568949e-05    349.8910917106369
7.758249846691292e-05    351.40011395670405
7.793117743319507e-05    352.91564016258246
7.828142346710113e-05    354.4376983176991
7.863324361150196e-05    355.9663165316371
7.898664494092118e-05    357.5015230346596
7.934163456167752e-05    359.04334617820786
7.969821961202752e-05    360.5918144354419
8.005640726230927e-05    362.1469564017409
8.041620471508647e-05    363.70880079523596
8.07776192052933e-05    365.27737645733777
8.11406580003799e-05    366.85271235325956
8.150532840045853e-05    368.4348375725433
8.187163773845027e-05    370.02378132960365
8.223959338023261e-05    371.61957296424407
8.260920272478751e-05    373.22224194221246
8.298047320435008e-05    374.83181785572845
8.335341228455818e-05    376.4483304240214
